date,year,month,repo_id,report_url,list_location,detected_point,fish_raw,fish_normalized,size_cm,weight_kg,method,is_night_fishing,evidence_text,confidence
2024-08-03,2024,8,iso_repo459,https://portside-t.com/iso/iso_repo459.htm,伊豆南地磯,カグラ根,シブダイ,シブダイ系,50,,夜釣り、磯釣り,true,40㎝前後が主体で最大50㎝はあっただろうか。ほとんどがシブダイであった。,medium
2024-08-03,2024,8,iso_repo459,https://portside-t.com/iso/iso_repo459.htm,伊豆南地磯,カグラ根,イサキ,イサキ,,,夜釣り、磯釣り,true,シブダイ、イサキ、ハタンポ,medium
2024-08-03,2024,8,iso_repo459,https://portside-t.com/iso/iso_repo459.htm,伊豆南地磯,カグラ根,ハタンポ,ハタンポ,,,夜釣り、磯釣り,true,シブダイ、イサキ、ハタンポ,medium
2024-06-29,2024,6,iso_repo458,https://portside-t.com/iso/iso_repo458.htm,伊豆南地磯,伊豆南地磯,メイチダイ,メイチダイ,,,夜釣り、磯釣り、フカセ,true,その他メイチダイやイサキも交じって・・・もちろん強烈なバラシも^^,low
2024-06-29,2024,6,iso_repo458,https://portside-t.com/iso/iso_repo458.htm,伊豆南地磯,伊豆南地磯,シブダイ,シブダイ系,35,,夜釣り、磯釣り、フカセ,true,今年の夏も来てくれるかと期待していたシブダイ(イッテンフエフキダイ)がこれ。 35㎝クラスで美味しくいただきました。臭みも全くなくとても美味な魚である。,low
2024-06-29,2024,6,iso_repo458,https://portside-t.com/iso/iso_repo458.htm,伊豆南地磯,伊豆南地磯,マダイ,マダイ,,,夜釣り、磯釣り、フカセ,true,夜中過ぎる頃、そろそろ納竿にするかということで最後の1投できたマダイ。,low
2024-06-29,2024,6,iso_repo458,https://portside-t.com/iso/iso_repo458.htm,伊豆南地磯,伊豆南地磯,イサキ,イサキ,,,夜釣り、磯釣り、フカセ,true,その他メイチダイやイサキも交じって・・・もちろん強烈なバラシも^^,low
2024-10-07,2024,10,iso_repo460,https://portside-t.com/iso/iso_repo460.htm,伊豆南地磯,カグラ根,ヘダイ,ヘダイ,,,夜釣り,true,ヘダイ、メイチダイ、シマアジ、シブダイ、,medium
2024-10-07,2024,10,iso_repo460,https://portside-t.com/iso/iso_repo460.htm,伊豆南地磯,カグラ根,メイチダイ,メイチダイ,,,夜釣り,true,ヘダイ、メイチダイ、シマアジ、シブダイ、,medium
2024-10-07,2024,10,iso_repo460,https://portside-t.com/iso/iso_repo460.htm,伊豆南地磯,カグラ根,シマアジ,シマアジ,,,夜釣り,true,ヘダイ、メイチダイ、シマアジ、シブダイ、,medium
2024-10-07,2024,10,iso_repo460,https://portside-t.com/iso/iso_repo460.htm,伊豆南地磯,カグラ根,シブダイ,シブダイ系,,,夜釣り,true,ヘダイ、メイチダイ、シマアジ、シブダイ、,medium
2024-10-07,2024,10,iso_repo460,https://portside-t.com/iso/iso_repo460.htm,伊豆南地磯,カグラ根,メジナ,メジナ,,,夜釣り,true,メジナ、イサキ、ブダイ、エイ、ベラ、クサフグ,medium
2024-10-07,2024,10,iso_repo460,https://portside-t.com/iso/iso_repo460.htm,伊豆南地磯,カグラ根,イサキ,イサキ,,,夜釣り,true,メジナ、イサキ、ブダイ、エイ、ベラ、クサフグ,medium
2024-10-07,2024,10,iso_repo460,https://portside-t.com/iso/iso_repo460.htm,伊豆南地磯,カグラ根,ブダイ,ブダイ,,,夜釣り,true,ヘダイ、メイチダイ、シマアジ、シブダイ、,medium
2024-10-07,2024,10,iso_repo460,https://portside-t.com/iso/iso_repo460.htm,伊豆南地磯,カグラ根,エイ,エイ,,,夜釣り,true,メジナ、イサキ、ブダイ、エイ、ベラ、クサフグ,medium
2024-10-07,2024,10,iso_repo460,https://portside-t.com/iso/iso_repo460.htm,伊豆南地磯,カグラ根,ベラ,ベラ,,,夜釣り,true,メジナ、イサキ、ブダイ、エイ、ベラ、クサフグ,medium
2024-10-07,2024,10,iso_repo460,https://portside-t.com/iso/iso_repo460.htm,伊豆南地磯,カグラ根,クサフグ,フグ類,,,夜釣り,true,メジナ、イサキ、ブダイ、エイ、ベラ、クサフグ,medium
2015-07-29,2015,7,iso_repo299,https://portside-t.com/iso/iso_repo299.htm,南伊豆地磯・堤防,南伊豆地磯・堤防,メジナ,メジナ,,,夜釣り、磯釣り,true,小メジナも来たが、また新藤さんにフエダイの30強が来た。,low
2015-07-29,2015,7,iso_repo299,https://portside-t.com/iso/iso_repo299.htm,南伊豆地磯・堤防,南伊豆地磯・堤防,イサキ,イサキ,40,,夜釣り、磯釣り,true,夜中1時頃から釣り始めるが、新藤さんにいきなりでかいイサキが来た。 40㎝近い太ったイサキだ。,low
2015-07-29,2015,7,iso_repo299,https://portside-t.com/iso/iso_repo299.htm,南伊豆地磯・堤防,南伊豆地磯・堤防,フエダイ,シブダイ系,,,夜釣り、磯釣り,true,小メジナも来たが、また新藤さんにフエダイの30強が来た。,low
2015-07-29,2015,7,iso_repo299,https://portside-t.com/iso/iso_repo299.htm,南伊豆地磯・堤防,南伊豆地磯・堤防,へダイ,ヘダイ,,,夜釣り、磯釣り,true,そして睦君にも同じサイズクラスのへダイが。,low
2015-07-29,2015,7,iso_repo299,https://portside-t.com/iso/iso_repo299.htm,南伊豆地磯・堤防,南伊豆地磯・堤防,サンノジ,サンノジ,,,夜釣り、磯釣り,true,その後40オーバーのサンノジを上げられたが、バケモノとのやり取りの後だったので、ご本人も納得のやり取りだったようだ。徐々に身に付けていく体験こそ上達の秘訣かと思う。,low
2015-07-29,2015,7,iso_repo299,https://portside-t.com/iso/iso_repo299.htm,南伊豆地磯・堤防,南伊豆地磯・堤防,ショウサイフグ,フグ類,,,夜釣り、磯釣り,true,メジナ、イサキ、フエダイ、へダイ、サンノジ、ショウサイフグ,low
2021-12-22,2021,12,iso_repo393,https://portside-t.com/iso/iso_repo393.htm,南伊豆地磯,南伊豆地磯,メジナ,メジナ,,,磯釣り、フカセ,true,メジナ、イスズミ、フエダイ、カサゴ、,low
