repo_id,report_url,title,detail_text,detected_points,detected_methods,detected_conditions,evidence_text,fetch_status,error_message
iso_repo459,https://portside-t.com/iso/iso_repo459.htm,私達の釣果レポ240803kgr,盛夏というより酷暑 まず日中は危険でできない。 記録を残す意味でもアップしておきます。 19時頃より今回は磯で実釣。 萩やんはポツポツと上げていたが、一時には入れ食いでトータル10枚ほど・・・ 40㎝前後が主体で最大50㎝はあっただろうか。ほとんどがシブダイであった。 24時に上がった。,カグラ根,夜釣り、磯釣り,夜釣りあり,40㎝前後が主体で最大50㎝はあっただろうか。ほとんどがシブダイであった。,cached,
iso_repo458,https://portside-t.com/iso/iso_repo458.htm,私達の釣果レポ240629,日曜の予報が不安定なので土曜の夕刻から出発。 今年の夏も来てくれるかと期待していたシブダイ(イッテンフエフキダイ)がこれ。 35㎝クラスで美味しくいただきました。臭みも全くなくとても美味な魚である。 その他メイチダイやイサキも交じって・・・もちろん強烈なバラシも^^ 夜中過ぎる頃、そろそろ納竿にするかということで最後の1投できたマダイ。 この海域の水深は2ｍからあっても3.5m 過去には水深5ｍ近辺でも上がっている80㎝オーバーも数枚上がっていたのだが とにかくビックリ。 ロッドは1.75号クラス 道糸2.5号ハリス2.5号での釣果だったが、 当初はなかなか動かない状態でそしていきなり走り出す様子が繰り返される。 「これはきっとでかいエイかも・・・」エイの大型はいきなり50mを猛烈に走ることもある。 そんな感覚だったがなんとか目いっぱい竿を曲げて寄せて浮かせてみると・・・ 違う馬鹿でかいマダイだと判明。 私の身体は170㎝ なのだが そうなると? デカイ魚ほどその魚の生きざまを考えてしまう。 食するのが全てではなく、いかに仕留めて上げて実績を残すかが楽しい磯釣り。 このマダイ君はそのまま海へお帰りいただいた。 レポート 金田,伊豆南地磯,夜釣り、磯釣り、フカセ,夜釣りあり,今年の夏も来てくれるかと期待していたシブダイ(イッテンフエフキダイ)がこれ。 35㎝クラスで美味しくいただきました。臭みも全くなくとても美味な魚である。,cached,
iso_repo460,https://portside-t.com/iso/iso_repo460.htm,私達の釣果レポ241007kgr,ヘダイ、メイチダイ、シマアジ、シブダイ、 メジナ、イサキ、ブダイ、エイ、ベラ、クサフグ 久々のレポートです。そして久しい昼釣り^^ 8月9月はもっぱら夜釣りでしたので割愛さて頂きました。めちゃスリリングでしたけど・・・・ 午後からの釣行でしたがさすがに海の活性は高い。 しばらくして小シマアジが寄ってきた。 そんな中での25センチクラスのメイチダイやブダイも。 二人でシマアジは30枚は・・・ この画がメイチダイ 地元の方も好んで食べる美味な魚です。 そして夜に入ってヘダイ35センチ。 しばらく釣っていないなぁと思っていたところに来た。 大型のバラシはなかったが、そろそろフエフキもシブダイも季節が変わる頃か。 レポート金田,カグラ根,夜釣り,夜釣りあり,ヘダイ、メイチダイ、シマアジ、シブダイ、,cached,
iso_repo299,https://portside-t.com/iso/iso_repo299.htm,私達の釣果レポ150729,釣った日 2015年7月29日 火 釣った人 新藤さん、内藤さん親子、 金田 釣った場所 南伊豆地磯と堤防 釣れた魚 レポート 金田 とにかくでかい魚と遭遇したい。そんな気持ちで4人で夜釣りへ。 夜中1時頃から釣り始めるが、新藤さんにいきなりでかいイサキが来た。 40㎝近い太ったイサキだ。 その後内藤さん達や私にもイサキフィーバー。 このところ台風が多くしばらく誰も磯へ人が入っていない様子もあった。 だが地磯でこれほどのイサキが回ってくるのは、よほど沖磯に撒き餌が不足していたからだろうか? 結局日の出までに私一人で10枚程度は上がっていた。 イサキも嬉しい魚だが、本来の狙いはバケモノ。 朝の空が白んできた後、新藤さんにそのバケモノが来た。 私がふと振り返ると1.5号の竿はグンニャリ。。。 ドラグは勢いよく出ていくばかり。止まらない。 しかし根に沿って左へ走られ、そして沖へ向いたかと思うとその後魚は止まった。 というよりラインが根に巻かれた感じで、最後は根掛かり。 そんな魚がヒットした際のやり取りを往路の道中で一通りレクチャーしたのだが、そうたやすく取れるものではない。 バケモノだと思った瞬間フリーで糸を出すか、あるいはドラグを調整しながら耐えるか。。。なかなか難しいものがある。(以下画像は内藤さんに撮っていただきました) たとえ取れなくとも、スリリングでとてつもない生き物との遭遇…,南伊豆地磯・堤防,夜釣り、磯釣り,夜釣りあり,小メジナも来たが、また新藤さんにフエダイの30強が来た。,cached,
iso_repo393,https://portside-t.com/iso/iso_repo393.htm,私達の釣果レポ211222,私達の釣果 2021.12月22日 伊豆南地磯 メジナ、イスズミ、フエダイ、カサゴ、 タカノハダイ、シュウサイフグ 急遽穏やかそうな気象だったので二人で。 18日から16度台の低水温が続いているが、さて暫くして安定してきたら・・・ 同じポイントを1時間は攻めていただろうか。 城主さんにバケモンが来た。彼にとっては初めての強烈な走りと引き。 だがハリスのチモト切れでバラシ。 さて・・・その正体は・・・いろいろ想像はするがそれもまた楽しいものだ。 その後アタリは頻繁ではないが手のひらサイズのメジナや25㎝ほどのタカノハダイ。 その他私も良型を一度浮かせたがハリ外れでバラシ。 フエフキらしき良型だったが、その他30㎝クラスも一枚上がった。 その後城主さんの竿が大きく曲がる。 上がってきたのはイスズミの40㎝。でっぷり太っていた。 かなり厳しい高い根の際で食わせたらしい。 イスなら取り込めるがそれが40クラスのメジナだったら・・・大したものだ^^ そんなこんなで前回とは違った海の様子だったが、 足元でデカいクロダイらしきもウロウロ^^ 澄んだ空気の冬至の一日。 冬の雲と青い空と、透み渡った冬の海も堪能できた。 (画像は城主さんからも頂きました) レポート 金田,南伊豆地磯,磯釣り、フカセ,夜釣りあり,メジナ、イスズミ、フエダイ、カサゴ、,cached,
iso_repo405,https://portside-t.com/iso/iso_repo405.htm,私達の釣果レポ220604,2022. 6月4日 伊豆南地磯 イサキ、フエフキダイ、フエダイ、ソイ、 ブダイ、サバ、エイ、ハタンポ、クサフグ 今回はプライベートで萩やんと二人で午後から半夜釣り釣行。 いつもの駐車場へ着いて支度していると、上の画像で「この魚ってなに?」というラインが来た。 「これはフエフキ」と返信するが同時に我々のすぐ近くで釣りをされていると確信。 磯へ入るとやはりそうだった^^ Tさん達は昨日急遽釣行を決められたそうで、偶然だが同じ磯へ。 しばらくお二人の様子を見ながら私はのんびり^^ でもこんなフエフキをあげられたのだから過去の不調の釣行から一変して、 楽しい釣りになったことかと。 だがしばし小サバとクサフグがエサ取りとなり苦戦。 そんな合間に萩やんが大きなムラソイを。 そしてTさん達もブダイも。 これだけあれば今日頂く分と自宅のお土産分、いずれも充分で召し上がれられたかと。 お二人さんが15時半頃磯上がりされた後、私にも良型のイサキ。 続けて同じイサキが来たが、かつてはこんな明るい内にイサキは来なかったものだ。 その後私と萩やんにモンスターが・・・ デカい感触はわかるが、ドラグで出すも一向に止まらない。 私の場合あえなくハリス切れ。根ずれでのラインブレイクだった。 それもまた明るい内の出来事。 ハリス2号では太刀打ちできないですね。 とっぷり暮れて萩やんに40オーバーのフエフキやフエダ…,南伊豆地磯,夜釣り、磯釣り、フカセ,夜釣りあり,イサキ、フエフキダイ、フエダイ、ソイ、,cached,
iso_repo434,https://portside-t.com/iso/iso_repo434.htm,私達の釣果レポ230621,2023. 6月21日 フエフキダイ、イサキ、フエダイ、 タカノハダイ、ショウサイフグ、クサフグ 磯から遠くに見えた客船らしき船。船の形がユニークだと思う。 17:30頃の画像。バックの島は神津島。これから横須賀へ行くのだろう。 東京九州フェリーらしい。東京とはいえ横須賀発着なのだ。 特筆すべきは、私の記憶ではかつて日本海を走っていたフェリーなのでは? 「はまゆう」という名も見えていた。2021年から始まった横須賀から門司までの定期航路船。 今回の教室は午後2時から実釣開始。 だが想像以上にショウサイフグが多い。 さらに厄介なのは早い当て潮でどうしようもなかった。 磯際も根掛かり覚悟で狙ってみるがフグのやられてしまう。 そして2時間ほどが経っただろうか・・・当て潮が止まった。 と同時にフグの姿が見えなくなる。 ここは狙い目とやや沖でオキアミ多めの撒き餌を集めると、 2投目でウキがゆっくり沈んでくれた。 強いパワーとスピードだがじっくり竿で溜めて多少ラインを出す。 そして魚が止まった時点でポンピング。 それを繰り返して浮かせてみたのが40cm弱の上の画像のフエフキダイ。 そんな潮の変化で魚も入れ替わるというか不思議とフグも姿を消すときが多い。 もちろん撒き餌の効果もあると考えるが、海の変化を見逃さず粘り強くですね。 夜10時頃まで粘って・・・の釣果でした。茶系の魚はフエダイ（シブダ…,伊豆南地磯,磯釣り,夜釣りあり,フエフキダイ、イサキ、フエダイ、,cached,
iso_repo435,https://portside-t.com/iso/iso_repo435.htm,私達の釣果レポ230702,2023. 7月2日 メジナ、カマス、フエフキダイ、アイゴ、タカノハダイ、イサキ、フエダイ、ムラソイ、ショウサイフグ、クサフグ 夏真っ盛りでもない空の雲。だがビーチには少しずつ人が・・・ 1件熱海のホテルへ立ち寄り打ち合わせ後、白浜渋滞もなく比較的スムーズに。 このとき干潮時だったが、案外とウネリが大きい気がした。 遅めの出発で磯へ入ったのは12時だった。 それほど潮も上げてこない時間。あげ3分程度だろうか。 フグが多い中、底ぎりぎりで食わせた良型らしき・・ 一度根に潜られたようだが出てきてしばしのやり取り。 40センチオーバーのフエフキもパワーもあって面白そう。 上層にフグがいても、しばし撒き餌をするとさまざまな魚が寄ってくる証拠でもある。 メジナは木っ端だが、やはり小サバは見なかった。その代わりに小カマス。 この日も釣れた魚の一覧のように様々な魚が。 その後 磯に時折波が這い上がり始めた。 3時頃にはヨタ波が被り始めたので安全な釣り場へ移動。 69歳にはきつかったが、以後8時過ぎまでのんびりと。 磯ではコンパクトな椅子も使って(笑) 上の画像は良型のフエダイとイサキ。 大型らしきバラシ・・・3度 レポート 金田,伊豆南地磯,磯釣り,夜釣りあり,メジナ、カマス、フエフキダイ、アイゴ、タカノハダイ、イサキ、フエダイ、ムラソイ、ショウサイフグ、クサフグ,cached,
iso_repo436,https://portside-t.com/iso/iso_repo436.htm,私達の釣果レポ230715,2023. 7月15日 メジナ、シマアジ、シブダイ、ウツボ、ショウサイフグ、クサフグ そろそろどこの海も真夏バージョン。この季節は日中の磯釣りはなかなか厳しい。 幸いにも風もあって曇りベースで何とか出来た。 今回は磯釣り初めてのS.Iさん。下げ潮から次第に上げてくる潮の中だったが、 案外と厳しかった。かかってきたのは小シマアジと片手ほどの小メジナとフグ。 だが初めての長い竿を使ったS.Iさんとて、初めてではあるが慣れるのには早かった。 餌を付けてキャストして仕掛けを伸ばしてラインをコントロールする。 それだけでも慣れて頂ければ磯釣りの一歩は確実に体感されたと思います。 あとは魚をかけた後のやり取りですね。 ぜひ次回には体感していただければ。 夕刻5時半までの教室だったが、予想に反して釣果は出なかった。 S.Iさんが帰られてそれほど時間は経たなかった頃に・・・ 35㎝ほどのシブダイがきた。根の際で掛けたものだから一度根に潜られて、 しばし軽く張り気味にして待って(2分ほど)、再び動き出したところでこちらが主導権を握る。 上の画像はとっぷり暮れた後、萩やんが根に回られながらも浮かせたもの。 タモ枠のサイズは一応50㎝。見事なサイズであった。 イサキもクロダイも良型のメジナも来なかった。 ヘダイもメイチダイも来なかった。 ただ良型らしきバラシ・・・２回 とてもおいしい魚だけ・・・二人で…,伊豆南堤防,夜釣り、磯釣り,夜釣りあり,メジナ、シマアジ、シブダイ、ウツボ、ショウサイフグ、クサフグ,cached,
iso_repo437,https://portside-t.com/iso/iso_repo437.htm,私達の釣果レポ230817,2023. 8月17日 真夏の日中の磯は地獄です。 でも頑張ってらっしゃる磯釣り師の方の一枚。 この日も伊豆南では気温33度 。 いくら上がっても31度程度が普通の海洋性気候なのだが、、、、 しばし様子を見ながら我々は堤防で夕刻を狙ってみた。 この程度の竿の曲がりを何度体験しただろうか。 きっと二人合わせて20回以上・・・かも^^ なかなか良い型のクロダイだった。 だがそれのみならず、彼は50㎝オーバーのあるものを狙っていた。 エイでもウツボ ではなく・・・^^ 50センチオーバーの美味しい魚は残念だったが、複数の40オーバーやメイチも30センチ強のメジナも良い引きを見せてくれた。 台風のウネリも収まってきた中での釣果でした。 熱中症にもウネリにも気を付けて、安全安心なところで、 そんな中で そこそこの爆釣となったと言っていいだろう。 レポート 金田,伊豆南堤防,夜釣り、磯釣り,夜釣りあり,2023. 8月17日 真夏の日中の磯は地獄です。 でも頑張ってらっしゃる磯釣り師の方の一枚。 この日も伊豆南では気温33度 。 いくら上がっても31度程度が普通の海洋性気候なのだが、、、、 しばし様子を見ながら我々は堤防で夕刻を狙ってみ…,cached,
